v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,score_lightgbm,anomaly_vote_count,GERCEK_ETIKET_label
-13.57,-9.8,-21.11,1.28,-2.0,1.09,52.94,20.7,15.25,-37.86,-3.16,0.9679705518778544,8.0,1
9.07,37.98,-24.5,-0.5,-0.91,-0.43,30.53,2.68,12.35,-5.23,-32.0,0.9676001195796586,6.0,1
-10.99,14.93,14.7,1.07,-1.03,0.1,55.65,36.65,22.36,-38.52,0.07,0.967083345845691,8.0,0
-17.12,-2.89,20.86,0.92,-1.23,1.14,45.91,20.16,16.12,-35.1,-7.05,0.9668785459577733,5.0,1
23.13,-5.18,1.74,0.01,-0.16,0.06,87.94,23.74,0.95,-40.83,2.01,0.9668271179027697,5.0,1
-7.12,-29.56,9.88,0.15,-0.42,0.4,55.65,18.72,12.3,-38.57,-2.04,0.9665364283291363,7.0,0
12.49,-9.63,-0.87,0.1,-0.12,0.01,88.12,23.2,3.2,-41.19,2.65,0.9656716456420812,5.0,1
4.95,-13.82,-6.45,-0.26,-0.34,-0.32,48.25,21.05,12.48,-36.49,-1.38,0.9652832244576511,8.0,1
6.71,-9.05,6.47,0.3,-0.24,0.51,77.11,18.01,2.68,-44.49,-0.68,0.9638715935567518,9.0,1
-7.59,-1.68,-6.71,-0.35,-0.16,-0.01,59.25,35.57,19.59,-36.98,-6.57,0.9637031848661226,4.0,0
44.99,-66.9,-27.25,-0.32,0.17,-0.51,57.09,18.01,12.65,-33.37,-6.0,0.9627669461425747,6.0,1
2.27,-17.25,-6.48,-0.7,0.88,0.0,55.47,18.89,13.52,-34.27,-5.87,0.9620153869175383,8.0,0
-5.05,-8.23,-8.24,0.12,0.26,0.45,54.38,19.26,14.21,-34.64,-5.31,0.9601812276492082,6.0,0
7.42,-2.56,-2.4,-0.04,0.04,0.0,59.98,35.93,19.93,-34.68,-5.31,0.9597881955364161,3.0,1
6.5,-5.42,-0.59,0.0,0.0,-0.01,48.61,17.82,7.97,-34.21,-2.33,0.9597652862305758,5.0,0
-7.55,-20.3,-22.29,0.2,-1.6,0.1,57.63,36.11,21.15,-37.49,-3.25,0.959039920980448,8.0,0
11.3,-14.52,32.98,-0.45,0.31,-0.33,0.0,0.0,0.0,2.35,10.63,0.9578242957647222,4.0,0
-3.25,-5.16,-4.92,0.77,-0.71,0.93,51.86,17.82,12.82,-36.7,-6.24,0.9565156440297354,5.0,1
-5.88,7.31,-45.71,1.38,-0.66,0.82,86.67,21.77,3.9,-44.41,1.53,0.9563676200145292,9.0,1
0.14,-87.31,-4.68,-0.57,0.25,1.22,0.0,0.0,0.0,-7.07,-26.32,0.9562683887423133,7.0,0
-42.28,-7.44,-8.48,0.31,-0.41,0.54,48.07,20.52,12.65,-38.18,-4.99,0.9556051318948768,4.0,0
-8.74,-11.76,-20.02,0.36,-1.48,0.18,50.78,33.6,14.9,-37.55,-2.7,0.9534560089923122,9.0,0
-9.84,-10.82,-14.03,0.78,-1.03,0.88,51.5,16.39,14.21,-37.64,-4.33,0.9527200890454849,5.0,1
-7.28,-9.77,-3.37,0.26,-0.35,0.09,82.71,17.82,0.08,-40.01,-3.59,0.9526628296255275,4.0,1
31.69,-33.52,-5.99,-0.04,0.07,0.14,55.47,18.19,13.86,-33.86,-6.78,0.9511195958808576,5.0,1
-13.93,2.25,-14.6,1.11,-0.79,0.99,82.35,20.34,-1.99,-42.82,0.51,0.9509930464626059,6.0,0
-4.88,3.36,-16.21,1.49,-0.63,1.13,83.25,23.38,-1.82,-43.93,5.33,0.948852226447057,9.0,1
11.44,-10.23,-7.35,0.9,-1.24,0.41,82.35,20.34,-1.99,-42.56,1.22,0.948814242378616,9.0,0
-5.84,14.61,19.41,1.22,-1.11,0.15,53.84,34.85,23.05,-37.04,-7.07,0.9486749580363962,8.0,1
-12.23,-11.84,-14.49,0.41,-0.72,0.6,86.31,19.26,-0.6,-44.04,1.74,0.9484393600165449,8.0,0
2.59,-2.45,-2.33,0.0,-0.02,0.0,60.34,35.93,19.23,-34.3,-4.67,0.9468394802563099,3.0,0
23.01,-4.82,-2.6,-0.06,0.11,0.04,56.01,16.57,9.88,-34.53,-3.99,0.9460788400882593,4.0,1
5.58,-6.48,-2.11,0.02,-0.03,0.01,53.3,16.39,12.48,-34.16,-5.85,0.9460788400882593,4.0,0
22.24,-78.5,-38.4,-0.2,0.17,-0.01,55.11,17.47,10.4,-34.49,-5.44,0.9460788400882593,5.0,1
23.54,-66.64,17.05,0.07,0.05,0.06,56.01,17.29,10.57,-34.21,-0.94,0.9460788400882593,6.0,1
0.27,-14.05,-6.06,0.57,0.35,0.06,79.09,21.05,-0.6,-43.11,1.71,0.9459115197294351,7.0,0
-7.56,-1.72,-7.6,0.05,-0.23,0.13,52.22,31.09,20.8,-36.07,-8.54,0.9458796487354231,5.0,0
-4.42,-11.81,-16.72,0.97,-1.3,1.02,52.22,16.39,13.17,-36.14,-5.67,0.9456873488973211,6.0,1
0.48,-8.77,-4.47,-0.85,1.0,-0.18,56.01,13.71,12.3,-36.25,-7.48,0.9440299602943273,5.0,1
-5.19,-2.95,-6.44,1.05,-1.27,1.1,52.58,16.04,12.48,-35.35,-5.77,0.9438434782610989,6.0,1
-9.8,-10.45,-12.31,1.38,-1.71,0.76,53.12,20.52,14.73,-35.98,-7.08,0.943566137884936,4.0,1
-15.54,-4.47,-8.82,1.0,-0.82,0.93,73.15,22.31,0.95,-43.28,-1.66,0.9408557753375683,9.0,1
-3.31,-3.59,5.09,0.87,-1.13,1.02,83.25,23.03,1.99,-45.13,2.71,0.9404779932982027,10.0,1
-4.67,-5.82,11.55,1.05,-0.55,0.71,85.95,19.98,2.16,-42.36,-0.32,0.9402646307204583,6.0,1
-48.25,-25.66,21.94,0.72,-0.46,0.46,48.61,16.75,11.78,-35.62,-0.99,0.9402074112436597,4.0,0
-6.71,-5.09,-5.96,0.13,-0.72,0.78,47.35,16.93,10.22,-39.39,0.96,0.9402066047726213,5.0,1
20.44,-10.66,-38.56,0.11,0.37,0.38,61.78,37.0,19.23,-34.73,-5.05,0.9397794570952925,5.0,1
-5.39,-11.8,-17.98,0.98,-1.34,0.07,50.42,34.67,20.8,-38.31,-3.64,0.9394903939296038,9.0,0
3.3,-10.05,-8.88,-0.41,0.83,-0.17,55.29,17.29,14.73,-35.07,-6.29,0.9392870895222099,7.0,0
6.53,-15.78,-16.48,-0.67,0.0,0.03,89.56,22.13,2.5,-45.36,1.83,0.938327808442757,10.0,1
-9.48,-10.11,-8.85,1.6,-1.83,1.04,52.94,19.26,13.52,-37.78,-3.33,0.9368789675085407,6.0,1
7.42,-11.23,-11.47,-0.4,0.11,-0.27,57.09,15.14,10.57,-38.25,-2.5,0.9354825390216089,7.0,0
6.51,-10.32,-2.74,0.07,-0.16,-0.06,82.17,17.64,-0.78,-43.28,0.97,0.9347446756000475,10.0,1
-5.04,-2.25,1.1,0.74,-0.37,0.12,88.3,21.95,7.88,-42.03,-6.34,0.9344779792595596,4.0,0
-8.17,-24.48,6.88,-0.21,-1.55,0.36,52.94,16.39,10.05,-46.43,5.98,0.9327733333839938,9.0,0
-10.3,31.54,1.55,0.71,-0.7,0.66,53.48,15.14,11.26,-35.94,-4.04,0.9320794236943684,4.0,1
-15.18,-1.71,0.6,0.28,-1.21,0.31,53.48,30.91,18.55,-36.9,-7.65,0.9305787439417783,7.0,0
-5.76,-26.44,20.9,0.51,0.08,-0.17,48.61,19.62,13.86,-36.81,-6.17,0.9303843419936294,9.0,0
-3.42,-28.71,-20.8,-0.77,0.64,-0.41,29.28,6.09,11.84,-9.97,-34.09,0.9288918299691049,7.0,0
7.82,39.07,-56.94,0.27,0.48,0.06,51.68,35.21,20.97,-35.36,-3.45,0.9285580621325712,5.0,0
-24.31,1.77,5.59,1.3,-0.62,1.43,52.04,16.93,12.3,-37.79,-6.72,0.9238247635633652,5.0,1
-1.55,18.8,-32.85,0.51,0.77,-0.02,81.62,19.98,-1.99,-41.34,-1.1,0.9237968734835991,4.0,0
-4.09,-10.92,-14.21,0.54,-0.72,0.47,48.07,18.37,15.42,-33.93,-2.96,0.922339366637313,7.0,1
-14.5,-4.55,-9.34,1.12,-0.72,1.0,85.77,21.23,-1.82,-44.64,2.37,0.9201978242713209,6.0,0
-7.67,-1.91,-6.55,0.06,-0.42,0.0,49.87,37.0,20.63,-35.39,-6.71,0.9201292823944067,4.0,0
29.27,-48.3,10.85,0.03,0.02,0.01,54.74,17.82,11.44,-34.4,-3.93,0.9197977105141353,5.0,1
17.07,43.31,23.92,2.67,-0.59,0.44,0.0,0.0,0.0,-14.47,-34.38,0.9187860368966398,3.0,0
29.37,39.57,46.3,3.79,0.04,0.6,0.0,0.0,0.0,-13.9,-34.02,0.9187860368966398,3.0,0
45.76,2.78,0.35,1.31,-0.39,1.21,0.0,0.0,0.0,-13.73,-34.32,0.9187860368966398,4.0,0
-24.96,4.2,-2.06,0.01,-0.3,0.3,56.19,38.61,21.15,-38.35,-6.99,0.9184597709698358,7.0,0
14.09,-5.83,-3.23,-0.71,0.65,-0.11,55.83,18.19,9.69,-38.04,-5.04,0.9182333878618513,4.0,1
-6.65,-8.41,-26.62,-0.05,-0.45,0.44,86.31,19.26,-0.6,-44.11,1.21,0.9153057442331628,7.0,0
-13.99,-3.61,-8.48,0.22,-0.74,0.15,53.3,35.39,20.8,-35.27,-6.54,0.9138283051638321,3.0,0
-7.04,7.96,-2.87,-0.68,0.32,-0.54,0.0,0.0,0.0,-14.23,-38.81,0.912016431392312,7.0,0
0.48,9.19,34.19,-0.23,-0.08,-0.64,55.11,18.54,11.78,-35.05,-4.42,0.9103690943441949,4.0,0
-1.42,-12.4,-20.51,0.0,-0.33,-0.12,50.42,19.62,15.25,-37.48,-1.79,0.9085392822288717,8.0,0
7.22,-9.03,-39.46,-1.07,-0.19,-0.48,50.6,16.57,9.88,-35.1,-3.81,0.9080378354556927,8.0,1
-13.93,2.25,-14.6,1.11,-0.79,0.99,82.35,20.34,-1.99,-42.2,0.41,0.9069029914151898,5.0,1
-23.97,-6.53,-3.33,0.61,-0.24,0.37,55.65,36.65,22.36,-37.16,-3.78,0.9066006566784003,4.0,0
7.42,-1.91,1.34,0.46,-0.07,0.47,80.9,19.98,1.12,-45.26,-0.52,0.9038835363004453,10.0,1
44.73,53.72,36.37,3.53,0.16,0.37,0.0,0.0,0.0,-8.56,-31.99,0.9035273254129483,3.0,1
28.53,53.38,47.29,2.25,1.21,1.14,0.0,0.0,0.0,-7.88,-28.86,0.9035273254129483,3.0,0
22.51,67.53,9.16,1.93,1.12,0.92,0.0,0.0,0.0,-8.77,-30.98,0.9035273254129483,3.0,0
16.97,55.41,18.12,1.46,1.6,0.23,0.0,0.0,0.0,-6.82,-30.55,0.9035273254129483,3.0,0
-0.68,-13.82,-24.9,0.47,-0.52,0.91,52.58,16.75,10.74,-36.5,-4.58,0.9034468058468009,6.0,1
-20.46,-8.94,-0.84,1.22,-0.77,1.45,52.58,17.47,12.13,-36.72,-3.7,0.9031673983049789,6.0,1
0.33,-20.72,-6.01,-0.6,0.23,0.07,81.26,18.54,1.47,-43.49,-0.85,0.9017388438434453,9.0,0
-22.27,-6.33,-5.38,0.56,-0.35,0.38,84.87,22.13,2.86,-42.66,0.71,0.8991264851716442,4.0,0
12.94,78.4,21.74,-0.41,0.28,-0.67,56.01,17.29,10.57,-35.64,-2.5,0.8962785708332933,6.0,0
-15.56,3.69,-21.55,1.05,-0.98,1.12,80.9,19.98,1.12,-44.36,-1.3,0.8940669880982318,7.0,0
23.25,-78.5,-6.44,-0.12,-0.07,-0.03,54.93,17.29,12.65,-34.61,-3.03,0.8940325705553884,6.0,1
-10.22,-6.49,-25.48,1.34,-1.47,0.96,54.38,19.62,13.86,-34.74,-5.7,0.8913039566993138,6.0,1
-29.05,14.23,52.03,0.34,1.05,0.24,56.01,35.93,19.93,-36.88,-2.56,0.8905968548752904,3.0,0
-22.27,-6.33,-5.38,0.56,-0.35,0.38,84.87,22.13,2.86,-42.4,0.52,0.8896438079386435,3.0,0
-12.6,10.41,-3.0,0.99,-0.62,0.56,80.9,23.92,0.43,-43.42,3.25,0.8858687693185975,4.0,0
-12.81,-2.59,-35.24,-0.97,-0.42,0.52,46.81,17.47,9.01,-38.09,-0.28,0.8858204224537438,5.0,1
7.65,0.54,29.58,0.67,-0.09,-0.54,30.0,7.16,13.9,-6.7,-31.96,0.8853170321872517,4.0,0
-5.48,-6.17,-6.19,0.76,-1.12,0.04,47.89,32.17,21.15,-38.09,-3.55,0.8809908116218922,8.0,0
-43.08,17.54,16.34,1.34,-0.38,0.48,43.74,16.21,6.06,-35.29,-0.34,0.8807057050750575,4.0,0
34.54,31.36,-28.1,1.2,-0.22,0.16,0.0,0.0,0.0,-14.0,-34.95,0.879127682144116,4.0,0
3.52,78.88,-21.89,0.22,0.56,-0.17,85.05,22.67,-0.43,-41.78,2.16,0.877852915108596,6.0,0
-4.67,-7.71,-10.39,0.75,-0.71,0.83,53.12,16.21,11.61,-34.08,-7.18,0.8768888548079763,5.0,1
2.25,-13.59,-21.67,-0.95,1.41,0.01,57.63,16.39,13.17,-37.05,-5.0,0.8761255906531181,8.0,0
-4.19,9.61,3.65,-0.13,0.12,-0.18,53.48,16.93,12.65,-34.17,-6.5,0.875249600433486,4.0,0
6.75,-19.47,2.14,-0.17,0.4,0.21,83.07,18.54,0.08,-43.19,-1.01,0.8741470330146356,7.0,0
-2.31,-13.93,-26.81,0.9,-0.94,0.95,53.66,16.75,14.21,-36.03,-7.02,0.8737843580988452,5.0,1
-38.54,54.18,46.96,0.6,0.32,0.39,64.13,36.47,18.03,-36.83,-2.04,0.8726390979238363,4.0,0
-47.58,41.88,41.58,0.91,-0.25,0.24,48.79,20.16,9.18,-36.2,-1.5,0.8691463486023133,4.0,0
6.51,-18.4,9.26,1.02,0.63,0.18,0.0,0.0,0.0,-18.4,-56.42,0.8679899776623007,6.0,0
-3.63,-5.01,-13.68,-0.18,-0.76,-0.3,56.19,35.75,18.37,-38.25,-0.21,0.8656016078100387,6.0,0
-6.34,-8.6,-5.4,0.97,-0.8,0.15,51.14,37.54,18.72,-37.63,-1.06,0.8652504841062658,9.0,0
-3.13,-9.49,-14.99,0.04,-0.66,0.01,46.81,34.67,20.45,-35.01,-2.68,0.8636065815786285,6.0,0
-7.82,-11.28,-4.38,1.45,-1.9,1.0,53.12,19.8,15.42,-37.2,-7.54,0.8586105637410775,5.0,1
32.29,-31.36,6.11,-1.58,1.69,1.0,0.0,0.0,0.0,-14.02,-33.65,0.8533544952067623,4.0,0
0.84,-6.5,-11.62,0.03,-0.82,0.02,55.47,17.11,13.17,-37.93,-2.95,0.8515901565691372,8.0,0
-46.22,-2.98,-15.53,0.59,-0.47,0.23,53.3,36.83,22.19,-37.76,-6.1,0.8485720062413307,4.0,0
-23.4,0.44,3.4,0.55,-0.9,1.11,53.12,16.93,12.3,-37.15,-6.0,0.8439353529499275,5.0,1
6.91,-13.15,-7.66,-0.43,0.37,-0.15,56.01,14.78,9.52,-35.66,-7.49,0.8430224914628252,7.0,0
-20.63,-11.42,9.07,0.92,-1.18,1.14,51.14,20.7,13.86,-35.78,-2.33,0.8428872758646854,4.0,1
34.38,21.5,-8.83,0.31,0.39,-1.51,0.0,0.0,0.0,-10.07,-34.07,0.8424666999799688,3.0,1
-20.49,-5.8,3.95,0.63,-0.31,0.41,53.84,38.79,17.51,-37.74,-0.65,0.8402874847505793,5.0,0
-25.09,-1.34,1.72,0.86,-0.51,0.51,55.11,35.75,19.76,-39.02,-4.74,0.8376527025963141,5.0,0
-24.96,4.2,-2.06,0.01,-0.3,0.3,56.19,38.61,21.15,-37.84,-7.12,0.8352711620997879,7.0,0
-3.96,-5.24,-12.01,-0.52,-1.17,-0.25,51.86,37.54,21.84,-34.67,-2.98,0.8321434363253741,6.0,0
0.39,-8.4,-19.75,0.08,-1.05,0.15,53.48,30.91,18.55,-37.23,-6.84,0.8313432393185968,9.0,0
17.04,-22.47,30.96,-0.18,-0.15,-0.24,56.37,19.44,13.69,-33.34,-6.36,0.8312629838419318,5.0,1
-10.57,-7.94,7.58,1.15,-0.59,1.0,48.43,18.72,11.26,-37.71,-2.29,0.8299566106494531,7.0,0
-7.12,-4.86,-9.09,-0.16,0.3,0.34,51.86,17.47,9.69,-34.67,-7.5,0.8298750002065695,3.0,1
16.92,-5.53,-13.1,-0.85,0.44,-0.09,55.11,19.62,13.52,-37.91,-0.91,0.8286949377864071,4.0,0
-8.34,-8.5,-0.49,0.71,-0.32,0.56,49.15,15.86,8.14,-38.46,2.3,0.8270388293355024,6.0,1
6.43,-20.86,-11.15,-0.02,0.02,-0.11,52.04,16.21,13.34,-36.01,-5.51,0.8264504027358203,6.0,1
-36.2,30.53,28.73,0.43,-0.11,0.67,46.27,17.29,6.76,-37.05,0.32,0.8250890300859992,4.0,0
-13.46,-5.9,-6.68,0.26,-1.17,0.89,84.69,19.8,-0.08,-42.26,3.32,0.8230196541505282,5.0,0
-9.05,1.75,-3.79,0.54,-0.4,1.05,56.91,18.54,13.52,-37.18,-5.46,0.8221760029091523,5.0,0
-9.23,78.4,2.31,0.31,-0.42,0.94,54.74,17.82,11.44,-36.79,-1.74,0.8201597435990714,4.0,0
-25.09,-1.34,1.72,0.86,-0.51,0.51,55.11,35.75,19.76,-38.5,-5.42,0.8183605201752708,5.0,0
32.1,44.89,-50.13,1.19,-0.35,-2.26,0.0,0.0,0.0,-13.62,-35.37,0.8163143503467236,3.0,0
-17.53,6.69,-14.85,1.18,-0.31,0.52,78.38,21.77,0.08,-42.28,2.07,0.8152504037951814,5.0,0
11.22,-18.62,-6.63,0.19,0.47,-0.08,80.9,25.71,-0.95,-43.19,-2.42,0.8150772734544575,9.0,0
-42.45,58.66,-18.22,1.99,1.8,0.27,56.19,38.61,21.15,-36.82,-6.58,0.8148667432353975,4.0,0
0.49,-13.76,-27.34,0.06,-1.27,0.06,54.38,19.62,13.86,-35.09,-3.99,0.8143007396481748,8.0,0
-43.08,17.54,16.34,1.34,-0.38,0.48,43.74,16.21,6.06,-35.96,0.52,0.813900805015227,4.0,0
-14.56,-13.57,-7.91,-0.39,0.9,0.23,53.3,35.39,20.8,-34.75,-7.17,0.8130591485531609,3.0,0
5.73,-12.24,-8.35,-0.43,-0.12,0.27,56.91,18.54,13.52,-37.06,-5.99,0.8097923178200426,5.0,0
-12.02,-6.86,-12.9,1.01,-0.84,1.05,84.87,23.56,0.08,-42.55,2.89,0.8096316670423119,6.0,1
-29.05,14.23,52.03,0.34,1.05,0.24,56.01,35.93,19.93,-36.56,-2.84,0.8096062220313263,3.0,0
-6.52,-8.58,9.61,0.55,0.43,-0.04,54.74,34.67,20.11,-34.7,-5.09,0.8075474951369731,3.0,0
3.61,-12.25,-0.9,0.3,-0.31,0.04,85.05,16.57,0.6,-42.03,2.68,0.8074974041261963,6.0,0
-48.25,-25.66,21.94,0.72,-0.46,0.46,48.61,16.75,11.78,-35.36,-1.74,0.8015223329577528,4.0,0
-38.54,54.18,46.96,0.6,0.32,0.39,64.13,36.47,18.03,-37.48,-1.64,0.8014006803847793,3.0,0
6.01,-9.31,8.85,0.64,0.0,0.3,80.0,19.44,1.99,-43.37,0.29,0.7982974793735257,8.0,1
1.95,-10.21,-17.14,-0.35,-0.74,-0.13,53.12,20.52,14.73,-35.83,-6.78,0.7955785366221062,7.0,0
-13.99,-3.61,-8.48,0.22,-0.74,0.15,53.3,35.39,20.8,-34.96,-7.06,0.7947320047099179,3.0,0
-20.73,-12.33,0.98,1.06,-0.98,0.37,46.81,13.53,7.28,-38.32,-5.75,0.7928118411481719,4.0,1
-7.02,-0.16,-6.61,1.52,-1.82,1.1,89.02,23.03,4.76,-43.82,0.85,0.7927821154374969,10.0,1
-1.08,-4.93,-17.38,-0.35,0.83,-0.03,48.25,19.26,7.62,-38.69,-0.24,0.7892211250158159,3.0,1
-18.45,5.94,-4.28,0.55,-0.74,0.42,75.67,21.23,1.3,-42.97,-0.54,0.787262805864147,3.0,0
0.49,-24.08,-34.1,0.69,-1.23,-0.04,59.62,34.5,20.28,-37.5,-7.92,0.7831848871058915,8.0,0
-9.39,-24.57,-41.4,0.28,-1.12,0.52,90.1,20.87,4.42,-44.6,2.32,0.7819648770689539,7.0,0
-1.61,-6.07,-12.11,-0.71,-0.49,-0.17,59.8,34.32,19.41,-34.89,-3.13,0.7813228635859911,6.0,0
-0.5,-7.99,-10.97,0.08,-1.18,0.04,55.47,17.82,14.21,-38.0,-1.9,0.7812466018745216,7.0,0
-10.92,-10.3,-12.65,0.62,-0.6,0.63,83.07,18.54,0.08,-43.55,-0.46,0.7740711695177461,6.0,0
-36.2,30.53,28.73,0.43,-0.11,0.67,46.27,17.29,6.76,-36.25,-0.25,0.7721129895234884,4.0,0
2.9,-10.59,-33.63,-1.37,-1.08,-0.52,57.99,37.18,20.8,-37.99,-3.28,0.7704573677888185,9.0,0
-1.05,-8.07,-13.62,-0.56,0.82,-0.19,52.76,19.8,12.3,-35.96,-4.84,0.7692418693677209,4.0,0
-13.14,0.67,4.45,-1.27,0.13,0.66,52.58,16.75,10.74,-36.0,-4.19,0.765826592999696,4.0,0
-12.91,-7.44,-13.44,-0.09,0.0,0.49,47.17,17.82,5.54,-34.37,-2.04,0.7654053842105685,5.0,0
-6.08,-2.81,-7.66,0.05,-0.53,-0.04,50.78,33.6,22.19,-36.4,-9.69,0.76334177115625,6.0,0
-11.53,6.31,10.77,0.19,-0.39,0.43,52.76,30.91,18.55,-38.93,-2.49,0.7610073911134572,8.0,0
-3.25,-11.99,-10.53,-0.86,0.32,-0.23,48.07,21.95,14.73,-36.53,-2.53,0.7600374675131178,7.0,1
-18.36,-3.57,-7.53,0.0,-0.73,0.53,59.62,34.5,20.28,-37.38,-8.43,0.7567142698469683,7.0,1
-12.89,-4.76,-4.16,1.23,0.06,0.49,58.35,38.26,20.8,-37.28,-3.76,0.7512853031016956,8.0,1
-26.09,-8.49,-4.26,0.54,-0.34,0.55,53.84,18.01,14.38,-36.03,-4.55,0.7504415976241839,3.0,0
-0.85,-4.96,-16.34,0.17,0.56,-0.01,46.99,18.37,11.26,-36.96,0.26,0.7503943769712651,4.0,0
-2.89,-6.43,-13.58,-1.02,0.61,-0.41,81.62,19.98,-1.99,-40.8,0.98,0.7470820081286532,8.0,0
-40.47,27.61,-13.61,0.73,-0.62,0.21,59.07,35.75,20.11,-37.45,-4.39,0.739933532611804,4.0,0
-17.53,6.69,-14.85,1.18,-0.31,0.52,78.38,21.77,0.08,-42.84,2.05,0.7389821854428994,5.0,0
18.72,-78.5,42.41,-0.09,0.12,0.15,53.66,21.41,14.21,-34.63,-6.23,0.7381863748868581,3.0,0
-6.42,-7.74,-7.81,-0.61,-0.5,0.45,46.27,14.78,7.1,-39.94,-2.07,0.7380976137259678,5.0,1
-5.05,-0.79,14.55,1.64,-1.46,1.02,84.87,20.7,-0.26,-45.6,11.52,0.7365181350369953,6.0,1
-26.89,-9.34,-25.89,0.57,0.67,0.09,59.25,35.57,19.59,-35.99,-6.86,0.7361105618036052,4.0,0
-20.49,-5.8,3.95,0.63,-0.31,0.41,53.84,38.79,17.51,-38.03,-0.19,0.7357887913184208,4.0,0
5.29,-0.89,-3.05,0.05,-0.59,0.46,84.87,23.56,1.47,-43.5,2.69,0.734664267670667,7.0,1
29.18,-78.5,-6.54,1.6,0.76,0.06,49.69,18.89,11.09,-32.62,-5.25,0.73396323958955,4.0,0
24.07,-41.11,12.39,2.39,1.07,0.04,54.74,37.54,20.8,-33.24,-2.44,0.73396323958955,4.0,0
-3.88,-21.64,14.4,0.0,-0.37,-0.16,31.6,4.12,13.38,-1.66,-30.64,0.7335039355289262,6.0,0
-2.84,-8.86,-18.12,-0.07,-0.56,0.19,58.35,35.75,20.11,-36.46,-5.8,0.7308749513870221,7.0,1
2.0,-0.55,2.25,0.01,0.01,-0.04,56.01,15.14,9.52,-34.71,-3.45,0.7280987586354976,3.0,1
-2.34,-29.17,-0.9,0.62,-0.21,0.5,0.0,0.0,0.0,-16.71,-34.02,0.7229692304685682,8.0,0
-23.41,1.34,-29.77,0.64,-0.84,0.66,80.0,19.44,1.99,-43.0,-0.66,0.7189268826412817,6.0,0
-10.71,-4.44,1.13,0.51,-0.71,0.0,56.01,16.57,12.65,-37.12,-5.0,0.7188499643823895,3.0,0
1.79,0.68,-12.09,-1.3,-0.94,0.14,48.79,20.16,9.18,-36.83,-1.29,0.7185345317737746,8.0,1
-5.05,-68.88,20.71,-0.02,-1.11,0.71,81.08,21.95,2.68,-43.01,2.18,0.7176466857460264,9.0,0
-19.7,-0.76,-11.73,0.79,-0.72,0.54,82.17,20.52,1.64,-42.83,0.4,0.713289720349569,2.0,0
-4.71,-7.49,31.74,0.76,-0.35,0.65,80.72,22.31,3.72,-41.61,-1.3,0.7106312566827955,7.0,0
-3.67,-7.21,-8.28,0.82,-0.88,0.68,49.87,17.64,11.26,-37.38,-2.51,0.7105081409684136,5.0,0
65.21,-47.68,44.99,-2.11,2.11,0.2,0.0,0.0,0.0,-12.8,-41.04,0.7103807021369889,4.0,1
-16.79,-63.59,-8.94,0.32,-1.09,0.24,53.12,16.93,12.3,-37.59,-4.86,0.7081017939874392,7.0,0
-17.07,0.22,0.65,-1.5,-2.0,0.26,50.42,34.67,20.8,-38.01,-4.73,0.7056507972840208,9.0,1
-9.06,-3.88,3.46,0.05,-0.07,0.04,52.76,18.72,11.61,-36.8,-6.04,0.7045911976828564,4.0,0
-15.18,-1.71,0.6,0.28,-1.21,0.31,53.48,30.91,18.55,-37.34,-6.82,0.7000285715811395,7.0,0
-23.06,23.08,18.91,-0.5,-0.55,0.36,48.43,18.72,11.26,-36.72,-3.67,0.6979409706752161,4.0,1
5.12,64.43,-19.82,-0.14,0.16,-0.73,52.58,14.6,12.48,-34.87,-5.01,0.6969120622923651,4.0,0
-39.15,17.23,12.02,0.09,0.46,0.3,59.62,33.78,19.93,-35.99,-4.37,0.6954608003901269,3.0,0
13.66,-17.71,-5.71,-0.38,0.47,0.21,55.29,19.8,13.69,-35.26,-6.47,0.6946767294025584,3.0,0
-9.84,-10.82,-14.03,0.78,-1.03,0.88,51.5,16.39,14.21,-37.85,-4.17,0.6910944149742041,4.0,0
-26.88,-13.35,-17.73,0.7,1.7,1.09,48.97,18.54,11.78,-35.63,-6.61,0.6890760774891344,2.0,0
19.47,-6.94,3.42,1.14,1.21,0.1,55.65,35.57,20.63,-34.15,-2.59,0.6819681614237155,4.0,0
-9.91,-3.84,-2.56,-0.01,-0.56,-0.09,61.78,34.85,20.97,-36.13,0.15,0.680026251013455,3.0,0
0.18,-3.56,-8.47,-0.07,0.87,0.03,45.54,19.8,8.84,-38.64,-3.52,0.6798014360315474,4.0,1
-1.99,-6.01,-3.09,-0.8,1.4,-0.21,55.11,17.47,10.4,-35.99,-4.42,0.6789969778307934,4.0,0
12.82,6.21,-30.28,-0.57,-0.7,-2.73,0.0,0.0,0.0,-17.3,-34.9,0.6788017116453785,8.0,0
-48.99,47.78,27.88,1.27,1.28,0.18,57.63,36.11,21.15,-36.12,-4.38,0.6772060061422781,3.0,0
4.09,-16.3,-3.07,-0.38,0.81,-0.22,57.09,18.01,12.65,-33.13,-5.29,0.6767945407524009,6.0,0
-31.72,-0.04,11.51,0.72,-0.89,0.1,46.81,34.67,20.45,-34.88,-3.36,0.6763057481720204,7.0,0
-5.55,-4.76,2.08,-0.55,0.86,0.08,51.86,17.47,9.69,-34.95,-8.49,0.6762998670340221,3.0,0
3.03,-12.34,-7.32,-0.78,0.9,-0.3,52.76,16.93,11.96,-36.25,-6.77,0.6745160871665005,6.0,0
